bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.7977322603227587;0.6774649715653223;0.7314670438314348;3.2439342975616454
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.7924096634423935;0.7051188461467078;0.7456905073716642;3.246267580986023
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.7864274692162112;0.6796162146019291;0.7274634617253601;3.892441010475159
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.8188866498739756;0.664400464457995;0.7330386812238556;3.891671872138977
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.6326168443070037;0.9636830719121035;0.7635191590165951;0.5699943780899048
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.6788717562370938;0.8713319341101107;0.7622514114923524;0.46195378303527834
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.761389092118109;0.8450233410728277;0.8006313891955769;4.696116828918457
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.7603977726982334;0.8590029872025152;0.8065612842284064;3.6112167596817017
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.8137287419654105;0.8063244471057139;0.8096295981948065;4.00970504283905
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.8363647644887081;0.7176202944942586;0.7716887680977302;2.9352338314056396
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.8363980480311639;0.7149577463108497;0.7699238343655543;2.980544662475586
