cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;Mean_Precision;Mean_Recall;Mean_F1Score;Mean_Time
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.6939561844040816;0.6336709797148231;0.660416025046553;9.346402788162232
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.6906506789088935;0.583985914546971;0.6313692658941525;12.984011459350587
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.6986285206375515;0.6017704445273228;0.6449074229806211;13.599649930000306
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.596510198983206;0.7644809442796447;0.6686003933778444;1.431870126724243
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.6682765078262282;0.7117639505035956;0.6888105161249429;1.2043373107910156
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.6750354616853881;0.7163085224713492;0.6936779977389433;14.662884402275086
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.6723024884940549;0.7164072648142595;0.6931801547414553;11.2028799533844
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.7015977798951706;0.7056854161340114;0.7022385114870094;11.781310749053954
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.7248252998186768;0.6363941601681117;0.6761195972928049;8.568916916847229
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.764669522488125;0.6302102104809769;0.6902414096943333;8.601095294952392
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.6008566433566432;0.31448367808661926;0.3904241491198013;0.4696441650390625
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.5459343434343434;0.27875732111026225;0.3631445571971888;0.5323651790618896
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.6255844155844157;0.3542582417582417;0.44324466837510335;0.5186294794082642
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.3875725160507769;0.5198311767352015;0.4418923717039802;0.1619481086730957
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.3572175536881419;0.5000000000000001;0.4108904370364816;0.109822678565979
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.577987567987568;0.40362665112665114;0.4464965295130213;0.6757558822631836
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.5359890109890111;0.46661557740505105;0.48489391733785325;0.6201239347457885
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.6171428571428571;0.2180555555555556;0.3041605551311434;0.4646775484085083
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.6545634920634921;0.2677860374919198;0.3771605673308459;0.3668079853057861
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.5282323232323232;0.2557908757908758;0.33683982683982683;0.38132638931274415
